Zip,Meals
2663,92
2664,92
2666,92
2667,92
2668,92
2669,92
2670,92
2671,92
2672,92
2673,92
2675,92
2702,80
2703,80
2712,80
2713,92
2714,80
2715,80
2717,80
2718,80
2719,80
2720,80
2721,80
2722,80
2723,80
2724,80
2725,80
2726,80
2738,80
2739,80
2740,80
2741,80
2742,80
2743,80
2744,80
2745,80
2746,80
2747,80
2748,80
2760,80
2761,80
2762,80
2763,80
2764,80
2766,80
2767,80
2768,80
2769,80
2770,80
2771,80
2777,80
2779,80
2780,80
2790,80
2791,80
2801,80
2802,80
2804,68
2806,80
2807,68
2808,68
2809,80
2812,68
2813,68
2814,80
2815,80
2816,68
2817,68
2818,68
2822,68
2823,80
2824,80
2825,80
2826,80
2827,68
2828,80
2829,80
2830,80
2831,80
2832,68
2833,68
2835,80
2836,68
2837,80
2838,80
2839,80
2840,80
2841,80
2842,80
2852,68
2857,80
2858,80
2859,80
2860,80
2861,80
2862,80
2863,80
2864,80
2865,80
2871,80
2872,80
2873,68
2874,68
2875,68
2876,80
2877,68
2878,80
2879,68
2880,68
2881,68
2882,68
2883,68
2885,80
2886,68
2887,68
2888,68
2889,68
2891,68
2892,68
2893,68
2894,68
2895,80
2896,80
2898,68
2901,80
2902,80
2903,80
2904,80
2905,80
2906,80
2907,80
2908,80
2909,80
2910,80
2911,80
2912,80
2914,80
2915,80
2916,80
2917,80
2918,80
2919,80
2920,80
2921,80
2940,80
3031,74
3032,74
3033,74
3034,74
3036,74
3037,74
3038,74
3040,74
3041,74
3042,74
3043,74
3044,74
3045,74
3046,74
3047,74
3048,74
3049,74
3051,74
3052,74
3053,74
3054,74
3055,74
3057,74
3060,74
3061,74
3062,74
3063,74
3064,74
3070,74
3071,74
3073,74
3076,74
3077,74
3079,74
3082,74
3084,74
3086,74
3087,74
3101,74
3102,74
3103,74
3104,74
3105,74
3106,74
3108,74
3109,74
3110,74
3111,74
3215,74
3216,74
3217,74
3218,74
3220,74
3221,74
3222,74
3223,74
3224,74
3225,74
3226,74
3227,80
3229,74
3230,74
3231,74
3233,74
3234,74
3235,74
3237,74
3238,74
3240,74
3241,74
3242,74
3243,74
3244,68
3244,74
3245,74
3246,74
3247,74
3249,74
3251,74
3252,74
3253,74
3254,80
3254,74
3255,74
3256,74
3257,68
3257,74
3258,74
3259,80
3260,74
3261,74
3262,74
3263,74
3264,74
3266,74
3268,74
3269,74
3272,74
3273,74
3275,74
3276,74
3278,74
3279,74
3280,68
3281,74
3282,74
3284,68
3285,74
3287,74
3289,74
3290,74
3291,74
3293,74
3298,74
3299,74
3301,74
3302,74
3303,74
3304,74
3305,74
3307,74
3431,68
3435,68
3440,74
3441,68
3442,74
3443,68
3444,68
3445,68
3446,68
3447,68
3448,68
